country,SUV_sales,roads_quality,mountains,wage,fuel_price
Argentina,16.13,3.60,30.00,427.94,0.90
Australia,50.65,4.90,6.00,4218.89,1.35
Brazil,21.82,3.00,30.00,402.77,1.29
Canada,43.00,5.00,24.00,3338.62,1.18
China,30.98,4.60,33.00,1122.36,1.19
European Union,40.53,4.80,29.03,1656.0328,1.88
France,31.22,5.40,25.00,2331.13,2.04
Germany,32.88,5.30,16.20,2835.59,2.13
India,23.00,4.50,30.00,718.38,1.26
Indonesia,20.51,4.20,15.00,344.85,0.85
Italy,29.69,4.40,60.00,1496.4,2.08
Japan,36.70,6.10,73.00,2476.7,1.17
Mexico,32.61,4.50,70.00,648.6,1.32
Russia,46.00,3.50,30.00,824.25,0.62
Saudi Arabia,46.89,5.20,4.00,1888.68,0.61
South Africa,52.74,4.50,40.00,1362.35,1.23
South Korea,36.00,5.90,70.00,2180.33,1.36
Turkey,41.00,5.00,80.00,314.3,0.93
United Kingdom,31.96,4.90,24.80,2764.57,1.96
United States,45.00,5.50,20.00,3721.64,1.00
